date,sentiment_us,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1/22/20,-0.22998027613412225,0.3333333333333333,0.2,0.2765957446808511,0.045454545454545456,0.2701812191103789,0.24,0.2926829268292683,0.2727272727272727,0.5263157894736842,0.2924187725631769,0.22340425531914893,0.125,0.2,0.3,0.3269230769230769,0.3181818181818182,0.19230769230769232,0.19298245614035087,0.3,0.25,0.2919254658385093,0.2644230769230769,0.30927835051546393,0.35185185185185186,0.3076923076923077,0.3116883116883117,0.125,0.23333333333333334,0.1346153846153846,0.25,0.1926605504587156,0.23529411764705882,0.24822695035460993,0.291044776119403,0.3333333333333333,0.3114754098360656,0.2727272727272727,0.27631578947368424,0.29444444444444445,0.09090909090909091,0.2222222222222222,0.2222222222222222,0.24390243902439024,0.2540415704387991,0.2777777777777778,0.14285714285714285,0.272,0.30952380952380953,0.3076923076923077,0.1791044776119403,0.0
1/23/20,-0.47143781859373735,0.17054263565891473,0.18571428571428572,0.1386861313868613,0.16352201257861634,0.15877683034401646,0.1743119266055046,0.1864406779661017,0.22115384615384615,0.15384615384615385,0.143952802359882,0.1864406779661017,0.09876543209876543,0.1368421052631579,0.17142857142857143,0.23397435897435898,0.21495327102803738,0.16265060240963855,0.21212121212121213,0.15566037735849056,0.25396825396825395,0.2334047109207709,0.17391304347826086,0.16134453781512606,0.1721698113207547,0.17272727272727273,0.19387755102040816,0.1728395061728395,0.15789473684210525,0.15605095541401273,0.20967741935483872,0.20857699805068225,0.14285714285714285,0.1709448388858547,0.18010291595197256,0.15384615384615385,0.15955766192733017,0.24456521739130435,0.13947990543735225,0.17735849056603772,0.13333333333333333,0.1680327868852459,0.12195121951219512,0.18238993710691823,0.18048958713920352,0.14285714285714285,0.2,0.1941747572815534,0.19087837837837837,0.21782178217821782,0.13095238095238096,0.21568627450980393
1/24/20,-0.20637382028179557,0.2678983833718245,0.2968036529680365,0.2417006406523005,0.2817955112219451,0.30261855484567624,0.2270363951473137,0.2470389170896785,0.2446043165467626,0.2459016393442623,0.25241614553723707,0.25510204081632654,0.37640449438202245,0.34759358288770054,0.24798850574712644,0.2372047244094488,0.2833333333333333,0.24514563106796117,0.24464831804281345,0.25375170532060026,0.22674418604651161,0.2663829787234043,0.250386398763524,0.2337452982267598,0.2474418604651163,0.2215909090909091,0.20459081836327345,0.23404255319148937,0.21630094043887146,0.3298611111111111,0.28735632183908044,0.2354533152909337,0.25878594249201275,0.23670064874884153,0.21367521367521367,0.18,0.2389649923896499,0.24180327868852458,0.22900088417329797,0.22290894107952205,0.36231884057971014,0.2514124293785311,0.18032786885245902,0.2296551724137931,0.3355152027027027,0.2691131498470948,0.17272727272727273,0.2535593220338983,0.24865968853714576,0.2490974729241877,0.20496894409937888,0.18471337579617833
1/25/20,-0.29681037834780666,0.20159680638722555,0.19594594594594594,0.21990291262135922,0.20724346076458752,0.26290254535227114,0.22573099415204678,0.19848293299620734,0.189873417721519,0.242152466367713,0.20276953511374876,0.22023346303501945,0.2838983050847458,0.2864864864864865,0.26213292117465226,0.22095070422535212,0.2048780487804878,0.2446043165467626,0.19744483159117304,0.22986036519871106,0.2638888888888889,0.2490895848506919,0.24276377217553688,0.20268179473955647,0.2240829346092504,0.22015915119363394,0.19461883408071748,0.16605166051660517,0.18798955613577023,0.2420749279538905,0.2236842105263158,0.2250300842358604,0.17974683544303796,0.21434805376156396,0.21070234113712374,0.25,0.20287836583101207,0.21963394342762063,0.20495495495495494,0.19489912447658927,0.22099447513812154,0.20672478206724781,0.17402597402597403,0.1905089408528198,0.24346176881613096,0.23294117647058823,0.3163265306122449,0.21334792122538293,0.223043893129771,0.21052631578947367,0.211750305997552,0.1527777777777778
1/26/20,-0.2497042295178941,0.18878504672897195,0.2080536912751678,0.16534062655395326,0.19499105545617174,0.24576765907764156,0.21626399528579845,0.22080471050049066,0.2602040816326531,0.21561338289962825,0.1997537282802025,0.21054398925453324,0.2645051194539249,0.2223926380368098,0.24213286713286714,0.23042168674698796,0.2537313432835821,0.1902071563088512,0.22949117341640707,0.23495465787304204,0.2119205298013245,0.21369294605809128,0.23239139603542808,0.2261349172677132,0.2303206997084548,0.18450184501845018,0.22564102564102564,0.19333333333333333,0.22807017543859648,0.2284843869002285,0.17886178861788618,0.21903836813987373,0.2123015873015873,0.2259601906363891,0.18702928870292887,0.13095238095238096,0.21745507884121745,0.21858638743455497,0.22271573604060912,0.19012738853503186,0.23300970873786409,0.1984732824427481,0.16065573770491803,0.2154798761609907,0.21549377114099497,0.21923076923076923,0.2857142857142857,0.19686339248865042,0.2300939158840343,0.1636904761904762,0.1884469696969697,0.21705426356589147
1/27/20,-0.3931312375003694,0.19381443298969073,0.14489311163895488,0.20475319926873858,0.1988527724665392,0.19336663568773235,0.20021242697822622,0.1997907949790795,0.18220338983050846,0.23508771929824562,0.18181818181818182,0.18470273881095525,0.2054794520547945,0.2192622950819672,0.1900903708320349,0.18249380677126342,0.20833333333333334,0.19246031746031747,0.18269230769230768,0.16044776119402984,0.2229038854805726,0.1993801652892562,0.20537065052950076,0.17525773195876287,0.20014936519790888,0.1628440366972477,0.188982402448355,0.20987654320987653,0.20535714285714285,0.18786857624262848,0.2040133779264214,0.1916870415647922,0.21550094517958412,0.19765449993411516,0.2043956043956044,0.18,0.19821912504839334,0.1829105473965287,0.2164750957854406,0.1761755485893417,0.15979381443298968,0.18705882352941178,0.14919354838709678,0.18304172274562583,0.17326642335766423,0.19964973730297722,0.2265193370165746,0.18150019432568987,0.20788854713225982,0.17548746518105848,0.19906542056074766,0.2012987012987013
1/28/20,-0.3615101394532517,0.1787819253438114,0.20417633410672853,0.2274333440411179,0.19642857142857142,0.21876513968886258,0.2080830147460404,0.20167189132706373,0.22566371681415928,0.18213058419243985,0.20046460781634326,0.19782330345710628,0.19342359767891681,0.205607476635514,0.20107833809070727,0.2115085536547434,0.218568665377176,0.22323759791122716,0.17686318131256953,0.20854021847070506,0.18213660245183888,0.21755196304849886,0.21865558912386707,0.18092691622103388,0.2,0.17633928571428573,0.20317220543806647,0.24299065420560748,0.18699186991869918,0.19542109566639412,0.20441988950276244,0.20796064400715564,0.21561338289962825,0.21378941742383753,0.19554985023534446,0.2830188679245283,0.18242343541944075,0.18899273104880582,0.1988227599738391,0.201875,0.23737373737373738,0.18956336528221512,0.2033195020746888,0.20605661619486504,0.18338371347439772,0.21140939597315436,0.18807339449541285,0.19084913437757625,0.22848397551314367,0.2075,0.19083969465648856,0.21641791044776118
1/29/20,-0.29221052395402713,0.205,0.20617283950617285,0.24317108235777368,0.20707596253902186,0.24268468519408554,0.21846370683579985,0.2526843235504653,0.20159151193633953,0.23042505592841164,0.21076303953286515,0.2084985835694051,0.2356902356902357,0.23511450381679388,0.23447148565201598,0.20072169598556608,0.22628726287262874,0.22291296625222023,0.1951388888888889,0.20509125840537945,0.21192893401015228,0.22828096118299446,0.22054665409990576,0.2123489932885906,0.20462046204620463,0.16323731138545952,0.20785219399538107,0.22077922077922077,0.23064250411861614,0.2610033856571253,0.2543478260869565,0.21484593837535015,0.22748815165876776,0.22106215060835252,0.19788079470198675,0.2556390977443609,0.22791908672140998,0.18571428571428572,0.23030085959885388,0.20875621890547263,0.21296296296296297,0.2036036036036036,0.20233463035019456,0.18767849857201144,0.22889004149377593,0.26100966702470463,0.2364341085271318,0.22026778682068784,0.2437767299045948,0.22456813819577734,0.2222222222222222,0.21761658031088082
1/30/20,-0.2684089974149446,0.23778195488721804,0.24466750313676286,0.2543713572023314,0.26599568655643424,0.22331295733084405,0.24127906976744187,0.24881516587677724,0.24752475247524752,0.25390625,0.23664174031271243,0.22006089309878213,0.23821765209940018,0.2506265664160401,0.22215852085423535,0.2596491228070175,0.25427350427350426,0.25145228215767634,0.22442244224422442,0.22471395881006864,0.23945147679324894,0.22266454352441614,0.22719546742209631,0.2501108647450111,0.24822695035460993,0.24390243902439024,0.24337158686189156,0.23652173913043478,0.22366710013003901,0.28277356446370533,0.27689873417721517,0.2523386903334133,0.2437137330754352,0.23630803447317208,0.23251417769376181,0.18787878787878787,0.24513413992635455,0.23711980136561142,0.2317195325542571,0.23543969641973272,0.24056603773584906,0.24611398963730569,0.23104693140794225,0.25275764260951783,0.22419567644372274,0.266199649737303,0.24752475247524752,0.2405007687239183,0.24044069993519118,0.24881889763779527,0.24349533627884143,0.27638190954773867
1/31/20,-0.2573858843891378,0.2603550295857988,0.2575516693163752,0.2570546737213404,0.2843723313407344,0.2398915594935035,0.25627352572145545,0.23596142938173567,0.2590909090909091,0.22606924643584522,0.2590309009139707,0.24623467600700524,0.25688976377952755,0.2640801001251564,0.23656973878758009,0.25527513446421185,0.24052132701421802,0.25960637300843487,0.2619589977220957,0.23395149786019973,0.2541993281075028,0.23915776241357636,0.2368712608021272,0.2510102210601379,0.25587996755879966,0.24064171122994651,0.2523167649536647,0.2595281306715064,0.25477707006369427,0.24635332252836303,0.3149284253578732,0.2477628635346756,0.2105911330049261,0.24327868852459017,0.25759734093067427,0.22941176470588234,0.24923896499238965,0.265625,0.24558976132826013,0.24794097460535347,0.2826086956521739,0.274434014356709,0.24803149606299213,0.262761780104712,0.2378544143756389,0.25822050290135395,0.27759197324414714,0.2534435261707989,0.24546360917248256,0.2245508982035928,0.25291434363912824,0.2927927927927928
